date,home,away,odds_home,odds_draw,odds_away
2026-06-14,Haiti,Scotland,5.51,4.42,1.65
2026-06-14,Australia,Turkey,5.36,3.79,1.80
2026-06-14,Germany,Curacao,1.04,24.00,50.00
2026-06-14,Netherlands,Japan,2.15,3.50,3.81
2026-06-15,Ivory Coast,Ecuador,3.35,2.90,2.63
2026-06-15,Sweden,Tunisia,2.02,3.47,4.43
2026-06-15,Spain,Cape Verde,1.13,11.70,29.80
2026-06-15,Belgium,Egypt,1.67,4.00,5.90
2026-06-16,Saudi Arabia,Uruguay,8.01,4.60,1.50
2026-06-16,Iran,New Zealand,1.88,3.50,4.89
2026-06-16,France,Senegal,1.52,4.50,7.20
2026-06-17,Iraq,Norway,16.00,7.28,1.23
2026-06-17,Argentina,Algeria,1.42,4.76,9.00
2026-06-17,Austria,Jordan,1.38,5.40,9.06
2026-06-17,Portugal,D.R. Congo,1.31,5.69,11.25
2026-06-17,England,Croatia,1.75,3.85,5.10
2026-06-18,Ghana,Panama,2.22,3.45,3.44
2026-06-18,Uzbekistan,Colombia,9.25,4.90,1.40
2026-06-18,Czech Republic,South Africa,1.80,3.71,5.00
2026-06-18,Switzerland,Bosnia & Herzegovina,1.59,4.07,5.89
2026-06-19,Canada,Qatar,1.28,5.61,11.60
2026-06-19,Mexico,South Korea,1.98,3.32,4.22
2026-06-19,USA,Australia,1.62,4.06,5.49
2026-06-20,Scotland,Morocco,5.07,3.57,1.76
2026-06-20,Brazil,Haiti,1.11,10.50,24.60
2026-06-20,Turkey,Paraguay,2.04,3.36,3.95
2026-06-20,Netherlands,Sweden,1.65,4.13,5.40
2026-06-20,Germany,Ivory Coast,1.55,4.38,5.77
2026-06-21,Ecuador,Curacao,1.21,6.62,15.00
2026-06-21,Tunisia,Japan,5.52,3.70,1.69
2026-06-21,Spain,Saudi Arabia,1.12,10.20,27.50
2026-06-21,Belgium,Iran,1.41,4.77,7.91
2026-06-22,Uruguay,Cape Verde,1.45,4.40,7.41
2026-06-22,New Zealand,Egypt,4.80,3.63,1.76
2026-06-22,Argentina,Austria,1.62,3.94,5.80
2026-06-22,France,Iraq,1.12,9.59,26.00
2026-06-23,Norway,Senegal,2.13,3.50,3.40
2026-06-23,Jordan,Algeria,6.70,4.25,1.48
2026-06-23,Portugal,Uzbekistan,1.25,6.16,11.50
2026-06-23,England,Ghana,1.33,5.40,9.50
2026-06-24,Panama,Croatia,6.40,4.05,1.55
2026-06-24,Colombia,D.R. Congo,1.47,4.27,7.49
2026-06-24,Bosnia & Herzegovina,Qatar,1.58,3.88,5.70
2026-06-24,Switzerland,Canada,2.12,3.36,3.45
2026-06-25,Scotland,Brazil,6.80,4.65,1.44
2026-06-25,Morocco,Haiti,1.30,5.71,10.00
2026-06-25,Czech Republic,Mexico,4.50,3.45,1.83
2026-06-25,South Africa,South Korea,5.40,3.89,1.62
2026-06-25,Curacao,Ivory Coast,12.50,6.45,1.23
2026-06-25,Ecuador,Germany,4.47,3.68,1.78
2026-06-26,Japan,Sweden,2.08,3.37,3.55
2026-06-26,Tunisia,Netherlands,6.40,4.35,1.50
2026-06-26,Paraguay,Australia,2.13,3.26,3.50
2026-06-26,Turkey,USA,2.74,3.57,2.43
2026-06-26,Norway,France,4.30,3.60,1.85
2026-06-26,Senegal,Iraq,1.40,4.66,8.05
2026-06-27,Cape Verde,Saudi Arabia,2.52,3.45,2.65
2026-06-27,Uruguay,Spain,5.20,3.95,1.62
2026-06-27,New Zealand,Belgium,9.50,5.61,1.30
2026-06-27,Egypt,Iran,2.25,2.95,3.55
2026-06-27,Croatia,Ghana,1.63,3.75,5.50
2026-06-27,Panama,England,9.53,5.80,1.29
2026-06-28,Colombia,Portugal,3.50,3.30,2.12
2026-06-28,D.R. Congo,Uzbekistan,2.31,3.30,3.05
2026-06-28,Algeria,Austria,3.70,3.19,2.15
2026-06-28,Jordan,Argentina,14.50,7.17,1.19
